,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Taney,1,0,0,0,0,0,1,0,0,0,
Taneytown,1,0,0,0,0,0,1,0,,,"6,762"
Taunton,1,1,0,1,2,0,4,1,0,0,"57,047"
Tawas,1,0,0,0,0,0,1,0,0,0,"4,522"
Taylor,1,0,0,0,0,0,0,1,0,0,
Taylor,3,0,0,0,0,0,0,2,1,0,"60,882"
Teaneck Township,2,1,0,0,0,0,0,1,1,1,"41,377"
Temple,2,0,0,0,0,0,0,0,0,2,"74,794"
Tenafly,0,1,0,0,0,0,0,1,0,0,"14,960"
Tennessee Bureau of Investigation,0,0,0,1,0,0,0,0,1,0,
Tennessee Technological University,1,0,0,0,0,0,1,0,0,0,"10,493"
Teton,1,0,0,0,0,0,0,0,1,0,
Tewksbury,1,0,0,0,0,0,0,1,0,0,"31,245"
"Texas Tech University, Lubbock",0,0,1,0,0,0,,,0,1,"36,551"
The Citadel,1,0,0,0,0,0,0,1,0,0,"3,602"
Thomas Township,0,1,0,0,0,0,0,0,1,0,"11,450"
Thorndale,1,0,0,0,0,0,0,0,1,0,"1,293"
Thousand Oaks,0,1,0,0,0,0,0,1,0,0,"129,240"
Thurston,2,0,0,0,0,0,0,1,1,0,
Tigard,4,3,1,0,0,0,3,1,3,1,"52,524"
Tioga County ,0,1,0,0,0,0,0,0,0,1,
Tipp City,0,1,0,0,0,0,0,0,0,1,"9,957"
Titusville,5,0,0,0,0,0,0,0,5,0,"46,425"
Toledo,2,0,0,0,0,0,1,0,0,1,"277,116"
Tomahawk,0,1,0,0,0,0,0,1,0,0,"3,169"
Tompkins County ,0,1,0,0,0,0,1,0,0,0,
Toms River Township,1,3,0,0,0,0,2,1,1,0,"92,543"
Tonganoxie,0,0,0,1,0,0,0,1,0,0,"5,379"
Topeka,1,0,0,0,0,0,1,0,0,0,"126,624"
Toppenish,1,0,0,0,0,0,0,0,1,0,"8,974"
Torrance,4,0,1,0,0,0,2,2,0,1,"147,482"
Torrington,4,1,0,0,0,0,2,2,0,1,"34,372"
Transit Administration,1,0,1,0,0,0,1,0,0,1,
Transylvania,1,0,0,0,0,0,0,1,0,0,
Traverse City,0,3,1,0,0,0,0,2,2,0,"15,617"
Travis,2,1,3,0,0,0,2,2,0,2,
Trenton,0,1,0,0,0,0,1,0,0,0,"18,161"
Trenton,0,1,0,0,0,0,1,0,0,0,"84,231"
Trigg,1,0,0,0,0,0,0,0,0,1,
Trinidad,1,0,0,0,0,0,0,0,0,1,"7,961"
Trotwood,1,0,0,0,0,0,1,0,0,0,"24,308"
Troy,3,0,0,0,1,0,0,2,2,0,"84,086"
Troy,0,0,1,0,0,0,1,0,0,0,"49,644"
Trumbull,4,4,1,0,0,0,4,2,1,2,"36,265"
Truro,1,0,0,0,0,0,0,0,0,1,"2,018"
Tucson,0,1,3,1,0,0,1,2,1,1,"532,323"
Tukwila,5,0,1,0,0,1,0,3,3,1,"20,183"
Tulsa,1,1,0,0,0,0,1,0,1,0,
Tumwater,1,0,0,0,0,0,0,1,0,0,"22,961"
Turlock,3,0,0,0,0,0,0,0,2,1,"73,488"
Tustin,1,0,0,0,0,0,0,0,0,1,"81,246"
Twin Falls,0,2,1,2,0,0,0,1,0,4,"48,912"
Uintah,4,0,1,0,0,0,1,2,1,1,
Ulster County ,1,1,0,0,0,0,1,0,1,0,
Umatilla,0,0,0,1,0,0,1,0,0,0,
Union,2,0,0,0,0,0,2,0,0,0,"7,940"
Union,0,0,0,1,0,0,1,0,0,0,
Union City,2,0,0,0,0,0,0,0,0,2,"76,311"
Union City,1,0,0,0,0,0,0,1,0,0,"70,053"
Union Gap,0,1,0,0,0,0,1,0,0,0,"6,104"
Union Township,1,0,0,0,0,0,1,0,0,0,"59,051"
University City,1,0,0,0,0,0,0,1,0,0,"34,601"
University of Arizona,1,1,1,0,0,0,0,0,3,,"43,161"
University of California:  ,,,,,,,,,,,
"University of Colorado, Boulder",0,1,0,0,0,0,1,0,0,0,"33,977"
University of Delaware,4,1,1,0,0,0,3,0,1,2,"23,009"
University of Georgia,2,0,0,0,0,0,1,0,1,0,"36,574"
University of Kentucky,2,2,0,0,0,0,3,1,0,0,"29,781"
University of Mary Washington,0,2,1,0,0,0,1,0,2,0,"4,726"
University of Maryland:  ,,,,,,,,,,,
"University of Massachusetts, Amherst",1,0,0,0,0,0,0,0,0,1,"30,037"
University of Michigan:  ,,,,,,,,,,,
"University of Minnesota, Twin Cities",3,2,0,0,0,0,2,2,1,0,"51,579"
"University of Missouri, Columbia",0,1,0,0,0,0,1,0,0,0,"33,239"
University of Montana,1,0,0,0,0,0,0,0,0,1,"12,419"
University of New Hampshire,0,0,1,0,0,0,0,0,0,1,"15,188"
University of North Carolina Hospitals,1,0,0,0,0,0,1,0,0,0,
"University of North Carolina, Pembroke",1,0,0,0,0,0,0,1,0,0,"6,268"
"University of Pittsburgh, Pittsburgh",0,1,0,0,0,0,1,0,0,0,"28,664"
"University of South Florida, Tampa",1,0,0,0,0,0,1,0,0,0,"42,861"
University of Southern Maine,1,4,2,0,0,0,2,3,0,2,"7,855"
University of the South,1,0,0,0,0,0,0,0,0,1,"1,815"
University of Vermont,2,2,0,1,0,0,1,2,1,1,"13,105"
University of Washington,3,0,0,0,1,0,1,0,1,2,"45,591"
University of West Florida,0,0,1,0,0,0,0,0,0,1,"12,966"
University of Wyoming,1,0,0,0,0,0,0,1,0,0,"12,366"
University Park,2,1,0,0,0,0,0,0,1,2,"47,789"
Upper Arlington,1,0,0,0,0,0,0,1,0,0,"35,214"
Urbana,1,0,0,0,0,0,0,1,0,0,"42,091"
Urbandale,1,0,0,0,0,0,0,0,0,1,"43,637"
Utah Transit Authority,11,1,1,0,0,2,4,5,3,3,
Utica,0,1,0,0,0,0,0,0,1,0,"60,395"
Vacaville,2,2,0,0,0,0,2,1,0,1,"99,293"
Valley Center,2,0,0,0,0,0,0,2,0,0,"7,431"
Van Buren,3,2,0,0,0,0,0,1,4,0,
Van Buren County,0,1,0,0,1,0,2,0,0,0,
Van Buren Township,2,0,0,0,0,0,1,0,1,0,"27,911"
Van Wert,1,0,0,0,0,0,0,1,0,0,"10,713"
Vancouver,1,0,0,0,0,0,0,0,1,0,"176,884"
Vanderburgh County,1,0,0,0,0,0,0,0,0,1,
Ventura,4,0,0,0,0,0,2,0,1,1,"110,006"
Ventura,2,1,0,0,0,0,0,0,2,1,
Ventura County Community College District,1,0,0,0,0,0,0,0,1,0,"33,976"
Vernon,0,1,0,0,0,0,0,0,1,0,113
Verona,1,0,0,0,0,0,1,0,0,0,"13,584"
Versailles,0,1,0,0,0,0,0,1,0,0,"26,320"
Victoria,1,0,0,0,0,0,0,1,0,0,"68,544"
Victorville,1,0,1,0,0,0,0,1,1,0,"123,284"
Vidalia,1,0,0,0,0,0,0,,1,,"4,015"
Vienna,1,0,0,0,0,0,0,0,0,1,"16,590"
Vigo,2,0,0,0,0,0,0,0,1,1,
Villa Hills,1,0,0,0,0,0,1,0,0,0,"7,494"
Vineland,8,0,1,0,0,0,1,0,4,4,"60,477"
Vinton,0,1,0,0,0,0,0,0,1,0,"8,207"
Virginia Beach,5,1,0,1,0,0,2,4,1,0,"454,353"
Virginia Polytechnic Institute and State University,2,0,0,0,0,0,0,1,0,1,"33,170"
Visalia,1,0,0,0,0,0,1,0,0,0,"132,143"
Vista,4,1,1,0,0,0,0,3,2,1,"103,004"
Volusia,1,0,0,0,0,0,1,0,0,0,
Voorhees Township,1,0,0,0,0,0,0,0,1,0,"29,532"
Wadsworth,3,0,1,0,0,0,1,0,1,2,"23,388"
Wagoner,1,0,0,0,0,0,0,0,1,0,"8,931"
Wahpeton,0,1,0,0,0,0,0,0,0,1,"7,841"
Wake,2,0,0,0,0,0,0,1,0,1,
Waldo,0,0,0,0,0,1,0,1,0,0,
Walla Walla,1,0,0,0,0,0,0,1,0,0,"32,189"
Walnut,1,0,0,0,0,0,0,1,0,0,"30,189"
Walpole,1,0,0,0,0,0,0,0,1,0,"25,312"
Waltham,1,1,1,1,2,0,0,3,1,2,"63,413"
Ware,1,0,0,0,0,0,0,0,1,0,"9,907"
Warner Robins,1,0,0,0,0,0,1,0,0,0,"75,323"
Warren,3,0,0,0,0,0,0,0,0,3,
Warren,1,0,0,0,0,0,1,0,0,0,"135,303"
Warren,1,0,0,0,0,0,0,0,1,0,
Warren,1,0,0,0,0,0,,,,1,
Warren,1,0,0,0,0,0,0,0,0,1,
Warren,0,0,0,1,0,0,0,1,0,0,
Warrenton,1,0,0,0,0,0,0,1,0,0,"8,168"
Washington,87,12,56,1,0,13,27,40,45,57,"693,972"
Washington,1,0,0,0,0,0,1,0,0,0,
Washington,0,1,0,0,0,0,0,1,0,0,
Washington,1,0,0,0,0,0,0,1,0,0,
Washington,1,0,0,0,0,0,0,0,1,0,
Washington,1,0,1,0,0,0,1,0,0,1,"26,618"
Washington County,0,0,1,0,0,0,1,0,0,0,
Washington County,0,0,1,0,0,0,0,1,0,0,
"Washington State University, Pullman",0,0,1,0,0,0,0,1,0,0,"30,142"
"Washington Township, Franklin County",1,0,0,0,0,0,1,0,0,0,"14,678"
"Washington Township, Gloucester County",1,0,1,0,0,0,0,1,1,0,"48,088"
"Washington Township, Warren County",1,0,0,0,0,0,0,1,0,0,"6,429"
Washtenaw,4,0,0,0,0,0,3,0,1,0,
Washtenaw County,2,0,0,0,0,0,0,0,0,2,
Waterbury,0,1,0,0,0,0,0,0,1,0,"107,924"
Waterford Township,2,0,0,0,0,0,1,0,1,0,"10,817"
Watertown,0,0,0,0,0,1,1,0,0,0,"35,586"
Waukee,1,0,1,0,0,0,1,0,1,0,"20,359"
Wayne,1,0,0,0,0,0,0,0,1,0,"16,857"
Wayne County,1,0,0,0,0,0,1,0,0,0,
Wayne County ,1,1,0,0,0,0,0,1,0,1,
Wayne County Airport,0,1,0,0,0,0,1,0,0,0,
Waynesville,1,0,0,0,0,0,0,0,1,0,"9,977"
Webb,1,0,0,0,0,0,0,0,1,0,
Weber,1,0,0,0,0,0,0,0,1,0,
Weber Morgan Narcotics Strike Force,2,0,0,0,0,0,0,1,0,1,
Webster,1,0,0,0,0,0,0,0,0,1,"16,883"
Weehawken Township,2,0,0,0,0,0,0,0,0,2,"15,683"
Wentzville,1,0,0,0,0,0,0,1,0,0,"38,876"
West Allis,1,0,0,0,0,0,0,0,0,1,"60,043"
West Bloomfield Township,0,3,0,0,0,0,2,1,0,0,"65,948"
West Chester Township,1,0,0,0,0,0,0,1,0,0,"61,386"
West Chicago,0,0,1,0,0,0,0,0,1,0,"27,219"
West Covina,0,3,0,0,0,0,3,0,0,0,"108,128"
West Drug Enforcement Branch,1,0,0,0,0,0,0,1,0,0,
West Hartford,1,0,0,0,0,0,0,0,0,1,"62,812"
West Hollywood,5,0,4,0,0,0,4,1,2,2,"37,093"
West Jordan,0,1,0,0,0,0,0,0,0,1,"115,390"
West Long Branch,1,0,1,0,0,0,1,0,0,1,"7,944"
West New York,1,0,0,0,0,0,0,0,1,0,"54,156"
West Palm Beach,2,0,0,0,0,0,1,1,0,0,"109,459"
West Richland,0,0,0,1,0,0,1,0,0,0,"14,603"
West Valley,3,0,0,0,0,0,0,1,2,0,"137,762"
West Windsor Township,1,1,0,0,0,0,2,0,0,0,"28,495"
Westampton Township,2,0,0,0,0,0,0,1,1,0,"8,775"
Westborough,0,1,0,0,0,0,0,1,0,0,"19,074"
Westchester County ,2,3,1,0,0,0,4,1,0,1,
Western Kentucky University,1,0,0,0,0,0,0,1,0,0,"20,271"
Western Washington University,0,1,0,0,0,0,0,0,0,1,"15,574"
Westerville,1,0,0,0,0,0,0,0,1,0,"39,418"
Westfield State University,10,2,0,0,0,0,0,0,1,9,"6,335"
Westland,2,0,0,0,0,0,0,0,0,2,"81,158"
Westminster,2,2,0,0,0,0,0,2,2,0,"91,863"
Westminster,1,0,0,0,0,0,0,1,,,"18,682"
Westminster,1,0,0,0,0,0,0,0,0,1,"2,514"
Westmoreland,0,0,1,0,0,0,1,0,0,0,
Westmoreland County,0,0,0,1,0,0,0,0,0,1,
Weston,1,2,0,0,0,0,0,0,1,2,"70,796"
Westport,1,0,0,0,0,0,0,0,1,0,"28,079"
Wewoka,1,0,1,0,0,0,0,1,0,1,"3,390"
Wexford County,1,0,0,0,0,0,0,0,0,1,
Whatcom,5,1,1,0,0,0,0,0,5,1,
Wheaton,0,1,0,0,0,0,0,1,0,0,"53,444"
White Bluff,0,0,0,1,0,0,0,1,0,0,"3,483"
White Lake Township,1,0,0,0,0,0,0,1,0,0,"31,016"
White Plains,1,0,0,0,0,0,0,1,0,0,"58,461"
White Sulphur Springs,0,1,0,0,0,0,0,1,0,0,"2,417"
Whitefish,1,0,0,0,0,0,0,0,1,0,"7,446"
Whitehall,1,0,0,0,0,0,1,0,0,0,"18,835"
Whitestown,0,1,0,0,0,0,0,0,1,0,"7,464"
Wichita,2,1,3,0,0,0,2,3,0,1,"391,084"
Wickenburg,0,0,1,0,0,0,0,0,0,1,"6,979"
Wicomico,1,1,0,0,0,0,0,2,0,0,
Wildomar,1,0,0,0,0,0,0,1,0,0,"36,683"
Wildwood,1,0,0,0,0,0,0,0,1,0,"5,087"
Wilkes-Barre,1,0,0,0,0,0,0,1,0,0,"40,418"
Will,0,1,0,0,0,0,0,1,0,0,
Willard,0,1,0,0,0,0,0,1,0,0,"5,452"
Williamsburg,1,0,0,0,0,0,1,0,0,0,
Williamson,1,0,0,0,0,0,0,0,1,0,
Willimantic,1,0,0,0,0,0,0,0,1,0,"17,768"
Willingboro Township,0,2,0,0,0,0,0,0,2,0,"31,726"
Williston,3,0,0,0,0,0,3,0,0,0,"9,731"
Willmar,0,1,0,0,0,0,0,0,1,0,"19,553"
Willoughby,1,0,0,0,0,0,1,0,0,0,"22,857"
Wilmington,1,0,1,0,0,0,0,0,0,2,"71,552"
Wilmington,5,0,1,0,0,0,1,1,2,2,"119,422"
Wilmington,2,0,0,0,0,0,1,0,1,0,"12,416"
Wilmore,1,0,0,0,0,0,0,0,1,0,"6,380"
Wilson,0,0,2,0,0,0,0,1,1,0,"49,686"
Wilton,1,2,0,0,0,0,0,0,2,1,"18,643"
Wilton Manors,0,3,0,0,0,0,0,1,2,0,"12,861"
Winchester,1,0,0,0,0,0,0,1,0,0,"18,478"
Winchester,1,0,0,0,0,0,1,0,0,0,
Windsor,0,0,1,0,0,0,1,0,0,0,"27,679"
Windsor,1,0,0,0,0,0,0,0,0,1,"23,523"
Windsor,1,0,0,0,0,0,0,1,0,0,"28,836"
Winnebago,0,1,0,0,0,0,0,0,0,1,
Winnsboro,2,0,0,0,0,0,0,1,1,0,"3,276"
Winooski,0,0,1,0,0,0,0,1,0,0,"7,105"
Winter Park,0,1,0,0,0,0,0,1,0,0,"30,602"
Wisconsin Rapids,0,0,1,0,0,0,0,0,1,0,"17,807"
Wolfe,1,0,0,0,0,0,0,0,0,1,
Wolfforth,1,0,0,0,0,0,0,0,1,0,"4,552"
Woodbridge,0,1,0,0,0,0,0,1,0,0,"8,816"
Woodbridge Township,0,2,0,0,0,0,1,0,0,1,"102,129"
Woodbury,27,1,4,1,0,0,4,10,14,5,"9,970"
Woodstock,1,0,0,0,0,0,0,1,0,0,"32,293"
Woodward,1,0,0,0,0,0,0,1,0,0,"12,655"
Wooster,0,0,0,1,0,0,0,1,0,0,"27,172"
Worcester,5,1,0,0,0,0,2,2,0,1,"185,107"
Worthington,0,1,0,0,0,0,0,0,0,1,"1,565"
Wrentham,0,1,0,0,0,0,0,0,0,1,"11,838"
Wright,1,0,1,0,0,0,1,0,0,1,
Wyandotte,2,0,0,0,0,0,0,1,0,1,"24,817"
Wyoming,4,0,0,0,0,0,0,0,4,0,"76,153"
Xenia,1,0,0,0,0,0,1,0,0,0,"26,331"
Yakima,6,0,1,0,0,0,3,2,1,1,"94,375"
Yakima,7,0,0,0,0,0,1,2,3,1,
Yale University,3,0,0,0,0,0,1,0,2,0,"12,458"
Yellowstone,1,0,1,0,0,0,1,1,0,0,
Yonkers,2,2,0,0,0,0,2,0,2,0,"201,554"
Yorba Linda,0,1,0,0,0,0,0,0,1,0,"68,889"
York,1,0,0,0,0,0,0,1,0,0,
Yuba,4,0,0,0,0,0,3,1,0,0,
Yucca Valley,1,0,0,0,0,0,0,0,0,1,"21,806"
Yuma,1,0,2,0,0,0,1,0,2,0,"95,522"
Yuma,1,0,0,0,0,0,1,0,0,0,
Zanesville,1,0,1,1,0,0,0,0,1,2,"25,457"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,, ,,,,,,,,,
